step,samples,episodes,epoch,loss,grad_norm,lr,update_s,data_s
20,1000,21,0.01,11.788,175.268,0.0001,0.207,0.08
40,3000,43,0.01,3.129,37.93,0.0001,0.112,0.007
60,4000,64,0.02,2.628,35.728,0.0001,0.109,0.005
80,5000,86,0.02,2.327,34.169,0.0001,0.116,0.005
100,6000,107,0.03,2.127,33.709,0.0001,0.109,0.005
120,8000,128,0.03,1.869,31.032,0.0001,0.105,0.006
140,9000,150,0.04,1.733,28.189,0.0001,0.104,0.007
160,10000,171,0.04,1.563,26.271,0.0001,0.109,0.005
180,12000,192,0.05,1.423,25.05,0.0001,0.102,0.007
200,13000,214,0.05,1.309,23.57,0.0001,0.108,0.006
220,14000,235,0.06,1.205,21.86,0.0001,0.109,0.005
240,15000,257,0.06,1.129,20.279,0.0001,0.103,0.008
260,17000,278,0.07,1.054,19.078,0.0001,0.103,0.006
280,18000,299,0.07,0.987,18.648,0.0001,0.109,0.007
300,19000,321,0.08,0.929,17.368,0.0001,0.103,0.007
320,20000,342,0.09,0.886,15.636,0.0001,0.105,0.005
340,22000,363,0.09,0.849,15.358,0.0001,0.102,0.006
360,23000,385,0.1,0.812,14.864,0.0001,0.106,0.007
380,24000,406,0.1,0.799,13.848,0.0001,0.106,0.007
400,26000,428,0.11,0.768,13.561,0.0001,0.108,0.006
420,27000,449,0.11,0.745,13.395,0.0001,0.109,0.007
440,28000,470,0.12,0.73,12.821,0.0001,0.105,0.005
460,29000,492,0.12,0.713,12.247,0.0001,0.11,0.005
480,31000,513,0.13,0.702,11.873,0.0001,0.108,0.007
500,32000,534,0.13,0.677,10.921,0.0001,0.102,0.005
520,33000,556,0.14,0.655,10.628,0.0001,0.111,0.006
540,35000,577,0.14,0.65,9.521,0.0001,0.112,0.007
560,36000,599,0.15,0.651,10.084,0.0001,0.107,0.005
580,37000,620,0.15,0.639,10.782,0.0001,0.109,0.006
600,38000,641,0.16,0.628,9.539,0.0001,0.108,0.006
620,40000,663,0.16,0.624,9.49,0.0001,0.109,0.005
640,41000,684,0.17,0.605,8.742,0.0001,0.108,0.007
660,42000,705,0.18,0.588,8.463,0.0001,0.109,0.006
680,44000,727,0.18,0.58,8.249,0.0001,0.107,0.008
700,45000,748,0.19,0.588,8.11,0.0001,0.104,0.007
720,46000,770,0.19,0.575,7.639,0.0001,0.109,0.007
740,47000,791,0.2,0.574,7.472,0.0001,0.11,0.006
760,49000,812,0.2,0.567,7.299,0.0001,0.112,0.007
780,50000,834,0.21,0.553,6.881,0.0001,0.11,0.007
800,51000,855,0.21,0.562,7.357,0.0001,0.107,0.006
820,52000,876,0.22,0.548,7.922,0.0001,0.112,0.008
840,54000,898,0.22,0.545,6.625,0.0001,0.112,0.006
860,55000,919,0.23,0.546,6.993,0.0001,0.112,0.005
880,56000,941,0.23,0.549,7.1,0.0001,0.107,0.005
900,58000,962,0.24,0.555,6.322,0.0001,0.104,0.006
920,59000,983,0.24,0.529,5.965,0.0001,0.108,0.005
940,60000,1000,0.25,0.54,5.847,0.0001,0.108,0.005
960,61000,1000,0.26,0.542,5.947,0.0001,0.11,0.007
980,63000,1000,0.26,0.517,5.835,0.0001,0.105,0.007
1000,64000,1000,0.27,0.531,6.257,0.0001,0.106,0.005
1000,65000,1000,0.27,0.523,6.584,0.0001,0.103,0.005
1000,67000,1000,0.28,0.512,5.876,0.0001,0.11,0.006
1000,68000,1000,0.28,0.52,5.918,0.0001,0.108,0.006
1000,69000,1000,0.29,0.502,5.715,0.0001,0.105,0.006
1000,70000,1000,0.29,0.518,6.191,0.0001,0.116,0.005
1000,72000,1000,0.3,0.504,6.154,0.0001,0.11,0.005
1000,73000,1000,0.3,0.515,5.53,0.0001,0.113,0.005
1000,74000,1000,0.31,0.506,5.608,0.0001,0.107,0.006
1000,76000,1000,0.31,0.51,5.555,0.0001,0.114,0.006
